"Font","X","Y","Name","Value",,
10,55,57,"WhoPays","x",,
10,86,69,"PayerAccount",123456,,
10,9,92,"Insurance?","x",,
12,83,90,"InsVal","$12.00",,
16,11,130,"ShipAcct",123456,,
16,130,130,"FromContact","Mitch Davis",,
16,11,154,"ShipRef",8888,,
16,11,178,"FromComp","Hackvana Pty Ltd",,
16,11,202,"FromAddress","125 Grand Parade","Funtown","China"
16,52,250,"FromZip",123007,,
10,130,250,"ShipPhone","+86-158-1444-2079",,
16,11,287,"ToComp","I Like Toys Ltd",,
16,11,319,"ToAddr","741 Opamp Avenue","Silicon Valley","California"
16,52,395,"ToZip",80034,,
16,130,395,"ToCountry","USA",,
16,11,419,"ToContact","Mr. J. Kirby",,
10,130,419,"ToPhone","kirbyj@ti.com",,
16,249,163,"TotalPackages",1,,
16,305,161,"WeightKgL",1,,
16,337,161,"WeightKgR",2,,
16,248,229,"WhatsInside","7 x Lots of really fun things",,
10,406,416,"DateYYYY",2011,,
10,432,416,"DateMM",12,,
10,455,416,"DateDD",15,,
